174.236	5.	100.	-11.	-11.	-11.
217.795	5.	100.	-11.	-11.	-11.
1.5112	3.	100.	-10.24	-10.46	-13.0
7.5561	3.	100.	-10.4	-12.7	-13.0
37.780	3.	100.	-10.59	-11.0	-13.0
75.561	3.	100.	-11.8	-11.5	-13.0
151.122	3.	100.	-11.5	-11.5	-13.0
226.683	3.	100.	-11.5	-11.5	-13.0
302.244	3.	100.	-11.5	-11.5	-13.0
377.805	3.	100.	-11.5	-11.5	-13.0
4.7186	1.	100.	-10.07	-11.5	-13.0
23.59	1.	100.	-10.22	-11.57	-13.0
117.97	1.	100.	-11.08	-12.37	-13.0
235.934	1.	100.	-11.22	-12.0	-13.0
471.868	1.	100.	-11.5	-11.5	-13.0
707.7	1.	100.	-11.5	-11.5	-13.0
943.6	1.	100.	-11.5	-11.5	-13.0
1179.5	1.	100.	-11.5	-11.5	-13.0
